a  阿 啊
he  呵 喝 禾 和 合 盒 何 河 核 阖 貉 吓 贺 荷 褐 赫 鹤 壑
hei  黑 嘿
hen  痕 很 狠 恨
heng  亨 哼 恒 衡 横
hong  轰 哄 烘 弘 红 虹 鸿 宏 洪
hou  侯 喉 猴 吼 后 厚 候
hu  乎 呼 忽 糊 囫 狐 弧 胡 葫 湖 蝴 壶 虎 唬 琥 浒 互 户 护 沪
hua  华 哗 花 划 骅 猾 滑 化 桦 画 话
huai  怀 徊 淮 槐 坏
huan  欢 獾 还 环 寰 缓 幻 换 唤 涣 焕 宦 浣 患
huang  荒 慌 皇 凰 遑 徨 惶 黄 潢 恍 晃 幌 谎
hui  灰 诙 恢 挥 晖 辉 徽 回 茴 悔 毁 卉 汇 会 荟 绘 烩 讳 诲 晦 贿 彗 慧 秽 惠
hun  昏 婚 荤 浑 馄 魂 混
huo  豁 和 活 火 伙 或 惑 货 获 祸 霍 藿
ji  几 讥 饥 机 肌 击 圾 芨 鸡 奇 犄 畸 唧 积 姬 基 稽 缉 跻 激 及 汲 级 极 吉 即 亟 急 疾 蒺 嫉 集 辑 瘠 藉 籍 己 纪 挤 济 给 脊 戟 计 记 纪 忌 伎 技 妓 系 际 季 悸 剂 迹 既 暨 继 寄 祭 寂 绩 稷 鲫 冀
jia  加 枷 嘉 夹 佳 家 甲 钾 贾 假 价 驾 架 嫁 稼
jian  戋 浅 笺 溅 尖 奸 歼 坚 间 肩 艰 监 兼 菅 渐 煎 缄 拣 茧 柬 俭 捡 检 减 碱 剪 简 见 舰 件 涧 饯 贱 践 建 健 毽 键 荐 剑 鉴 箭
jiang  江 将 浆 姜 僵 疆 讲 奖 蒋 匠 降 酱 犟
jiao  交 郊 茭 姣 胶 跤 浇 娇 骄 教 椒 焦 蕉 礁 嚼 角 侥 狡 饺 绞 铰 矫 脚 搅 缴 剿 叫 轿 觉 校 较 酵 窖
jie  节 阶 皆 结 秸 接 揭 街 劫 杰 桀 拮 洁 捷 睫 竭 截 姐 解 介 芥 界 戒 诫 届 借
jin  巾 斤 今 金 津 筋 禁 襟 仅 尽 紧 谨 锦 仅 进 近 靳 妗 劲 晋 浸
jing  茎 经 京 惊 荆 睛 精 旌 晶 兢 井 阱 颈 景 儆 警 劲 径 痉 净 静竞竟境镜靖敬
jiong  迥窘
jiu  纠 赳 究 阄 揪 九 久 玖 灸 韭 酒 旧 臼 舅 咎 救 就 
ju  车 拘 驹 居 据 锯 掬 鞠 局 菊 橘 矩 咀 举 巨 拒 炬 距 句 具 俱 惧 剧 聚
juan  捐 涓 娟 鹃 圈 卷 倦 眷 绢
jue  决 诀 抉 角 觉 绝 倔 掘 厥 镢
jun  军 均 钧 君 菌 俊 峻 骏 竣 郡
ka  咖 喀 卡 咔 咯
kai  开 揩 凯 楷 慨 忾
kan  刊 看 勘 堪 坎 砍 侃 瞰
kang  康 慷 糠 扛 亢 伉 抗 炕
kao  考 拷 烤 铐 犒 靠
ke  坷 苛 柯 科 蝌 棵 稞 颗 磕 瞌 壳 咳 可 渴 克 刻 恪 客 课 嗑
kei  克
ken  肯 啃 垦 恳
keng  坑 吭 铿
kong  空 孔 恐 控
kou  抠 囗 叩 扣 寇 蔻
ku  枯 骷 哭 窟 苦 库 裤 酷
kua  夸 垮 挎 胯 跨
kuai  会 脍 块 快 筷
kuan  宽 髋 款
kuang  匡 诓 哐 筐 狂 诳 旷 矿 况 框 眶
kui  亏 盔 窥 奎 逵 馗 魁 葵 睽 傀 匮 馈 溃 愧
kun  坤 昆 捆 困
kuo  括 阔 扩 廓
la  垃 拉 啦 旯 喇 辣 落 腊 蜡
lai  来 睐 赖 癞
lan  兰 拦 栏 岚 婪 阑 澜 蓝 褴 篮 览 揽 缆 懒 烂 滥
lang  啷 郎 廊 榔 螂 狼 琅 朗 浪
lao  捞 劳 唠 痨 牢 醪 老 佬 姥 络 烙 落 酪 涝
le  肋 勒 乐 了
lei  勒 累 雷 擂 垒 磊 肋 泪 类 嘞
leng  塄 棱 冷 愣
li  哩 丽 厘 离 漓 篱 梨 犁 黎 蠡 礼 李 里 娌 理 鲤 力 荔 历 沥 雳 厉 励 立 莅 粒 笠 吏 利 莉 痢 例 唳 隶 栗 蜊 璃
lia  俩
lian  连 莲 涟 怜 帘 联 廉 镰 敛 脸 练 炼 恋 链
liang  良 粮 凉 梁 粱 量 两 亮 谅 晾 踉 辆 靓
liao  撩 辽 疗 聊 僚 獠 潦 缭 燎 寥 了 料 撂 镣
lie  咧 裂 列 冽 烈 趔 劣 猎
lin  拎 邻 林 淋 琳 霖 临 粼 磷 鳞 麟 凛 檩 吝 蔺 躏
ling  伶 玲 铃 翎 羚 零 龄 灵 棂 凌 陵 菱 绫 岭 领 另 令
liu  溜 熘 刘 浏 留 馏 瘤 流 琉 柳 六 遛
long  龙 茏 咙 珑 胧 聋 笼 隆 陇 拢 垄 弄
lou  搂 喽 楼 耧 髅 篓 陋 瘘 漏 露
lu  撸 噜 卢 颅 芦 庐 炉 卤 虏 掳 鲁 陆 录 绿 禄 碌 赂 鹿 辘 麓 路 潞 鹭 露
luu  驴 吕 侣 铝 旅 偻 屡 缕 履 律 虑 滤 率 绿
luan  峦 孪 挛 鸾 銮 卵 乱
lue  掠 略
lun  抡 仑 伦 论 沦 轮
luo  捋 罗 逻 锣 骡 螺 裸 骆 络 烙 落 摞 漯
ma  妈 蚂 抹 摩 吗 麻 马 玛 码 骂 么 嘛 蟆
mai  埋 买 迈 麦 卖 脉
man  埋 蛮 蔓 馒 瞒 满 曼 谩 幔 漫 慢
mang  芒 忙 盲 氓 茫 莽
mao  猫 毛 髦 矛 茅 锚 卯 铆 耄 茂 冒 帽 贸 貌
me  么
mei  没 玫 枚 眉 莓 梅 酶 霉 媒 煤 每 美 镁 妹 昧 寐 魅 袂 媚
men  闷 门 焖 懑 们
meng  蒙 萌 盟 檬 朦 瞢 猛 锰 懵 孟 梦
mi  咪 眯 弥 迷 谜 醚 糜 米 靡 觅 泌 秘 密 蜜
mian  眠 绵 棉 免 勉 娩 冕 缅 腼 面
miao  喵 苗 描 瞄 秒 渺 缈 藐 妙 庙
mie  咩 灭 蔑 篾
min  民 岷 皿 闵 悯 闽 抿 泯 敏
ming  名 铭 明 鸣 冥 瞑 酩 命
miu  谬 
mo  末 摸 谋 馍 摹 模 膜 麽 摩 磨 蘑 魔 抹 茉 沫 没 殁 陌 脉 莫 漠 寞 墨 默
mou  哞 牟 眸 谋 缪 某
mu  模 母 拇 姆 牡 亩 木 沐 目 苜 牧 募 墓 幕 暮 慕 睦 穆
na  拿 哪 那 娜 呐 纳 钠 衲 捺
nai  乃 奶 奈 萘 耐
nan  囝 囡 男 南 喃 楠 难 腩
nang  囊 囔 馕 攮
nao  孬 挠 铙 蛲 垴 恼 脑 闹 淖
ne  哪 讷 呢
nei  哪 馁 内 那
nen  恁 嫩
neng  能
ni  妮 尼 呢 泥 倪 霓 拟 你 昵 逆 匿 腻 溺
nian  拈 蔫 年 粘 黏 鲶 捻 辇 撵 碾 廿 念
niang  娘 酿
niao  鸟 袅 嬲 尿 溺
nie  捏 涅 聂 嗫 镊 蹑 臬 镍 孽 蘖
nin  您
ning  宁 拧 咛 狞 柠 凝 泞 佞
niu  妞 牛 扭 忸 纽 钮 拗
nong  农 侬 哝 浓 脓 弄
nu  奴 孥 驽 努 弩 怒
nuu  女 恧 衄
nuan  暖
nuue  疟 虐
nuo  挪 诺 喏 搦 懦 糯
o  噢 哦
ou  讴 瓯 欧 殴 鸥 呕 偶 藕 沤 怄
pa  趴 啪 葩 扒 杷 爬 耙 琶 帕 怕
pai  拍 排 徘 牌 迫 哌 派 湃
pan  番 潘 攀 胖 盘 磐 蟠 判 叛 畔 盼
pang  乓 滂 彷 庞 旁 膀 磅 螃 耪 胖
pao  抛 泡 刨 咆 狍 炮 袍 跑 庖
pei  呸 胚 醅 陪 培 赔 锫 裴 沛 霈 帔 佩 配
pen  喷 盆
peng  抨 怦 砰 烹 嘭 澎 朋 棚 硼 鹏 彭 膨 蓬 篷 捧 碰
pi  丕 邳 坯 批 纰 砒 披 劈 噼 霹 皮 陂 疲 枇 毗 蚍 琵 貔 郫 埤 啤 脾 匹 否 痞 擗 癖 屁 媲 睥 辟 僻
pian  片 扁 偏 篇 翩 便 骈 谝 骗
piao  剽 漂 缥 飘 朴 嫖 瓢 殍 瞟 票 嘌 骠
pie  撇 瞥
pin  拚 拼 姘 贫 频 嫔 品 骋
ping  乒 娉 平 评 坪 苹 萍 凭 屏 瓶
po  朴 陂 坡 颇 泊 泼 婆 鄱 叵 迫 珀 粕 魄 破
pou  剖
pu  仆 扑 铺 噗 匍 葡 莆 脯 蒲 菩 璞 濮 朴 埔 圃 浦 普 谱 蹼 堡 瀑 曝
qi  七 柒 沏 妻 凄 萋 栖 戚 嘁 期 欺 蹊 漆 齐 脐 祁 祈 芪 祗 岐 歧 其 萁 棋 祺 旗 麒 奇 崎 骑 琦 耆 鳍 畦 乞 岂 杞 起 企 启 绮 稽 气 汽 讫 迄 弃 妻 泣 亟 契 砌 器 憩 荠
qia  掐 卡 洽 恰 髌
qian  千 仟 阡 扦 迁 钎 签 牵 铅 谦 骞 黔 前 虔 钱 钳 掮 乾 潜 浅 遣 谴 欠 芡 嵌 纤 茜 倩 堑 慊 歉
qiang  呛 枪 戗 羌 腔 锵 强 墙 蔷 抢 襁 炝 跄
qiao  悄 跷 雀 锹 敲 橇 乔 侨 荞 桥 翘 谯 憔 樵 瞧 巧 壳 俏 峭 鞘 窍
qie  切 伽 茄 且 窃 郄 妾 怯 挈 锲 惬 趄 慊
qin  钦 侵 亲 芹 芩 琴 秦 禽 擒 噙 勤 寝 沁
qing  青 圊 清 蜻 轻 氢 倾 卿 情 晴 擎 顷 请 謦 庆 亲 箐 磬
qiong  穷 穹 琼
qiu  丘 邱 蚯 秋 囚 泅 求 俅 逑 球 酋 糗
qu  区 岖 驱 躯 曲 蛐 诎 屈 祛 蛆 趋 渠 取 娶 龋 去 趣 觑
quan  圈 权 全 痊 醛 泉 拳 蜷 劝 券
que  鹊 炔 缺 瘸 却 确 雀 榷
qun  裙 群
ran  髯 然 燃 冉 染
rang  嚷 穰 瓤 壤 攘 让
rao  饶 娆 扰 绕
re  喏 惹 热
ren  人 壬 任 仁 忍 荏 稔 刃 仞 纫 韧 轫 认 任 饪 妊 葚
reng  扔 仍
ri  日
rong  戎 绒 茸 荣 嵘 容 蓉 溶 榕 熔 融
rou  柔 揉 蹂 鞣 肉
ru  如 茹 儒 濡 孺 蠕 汝 乳 辱 入 褥
ruan  阮 软
rui  蕊 芮 锐 瑞 睿
run  闰 润
ruo  若 偌 弱
sa  仨 撒 洒 卅 飒 萨 挲
sai  腮 鳃 塞 噻 赛
san  三 叁 伞 散 馓 糁
sang  丧 桑 搡 嗓 
sao  搔 骚 缫 臊 扫 嫂 埽 瘙
se  色 涩 啬 瑟 塞
sen  森
seng  僧
sha  杀 刹 沙 莎 痧 裟 鲨 纱 砂 煞 啥 傻 厦 霎
shai  筛 色 晒
