a  阿 啊
zeng  曾 增 憎 锃 缯 赠 甑 
zha  扎 吒 咋 查 喳 渣 楂 札 轧 闸 炸 铡 喋 眨 乍 诈 痄 蚱 榨 栅
zhai  侧 斋 摘 宅 择 翟 窄 债 寨
zhan  占 沾 毡 粘 詹 谵 瞻 斩 崭 盏 展 搌 辗 战 站 栈 绽 湛 颤 蘸
zhang  张 章 獐 彰 漳 嫜 樟 蟑 长 涨 掌 丈 仗 杖 帐 账 胀 障 嶂 幛 瘴
zhao  钊 招 昭 着 朝 爪 找 沼 召 诏 照 兆 赵 笊 棹 罩 肇
zhe  折 蜇 遮 螫 哲 辄 蛰 谪 辙 者 锗 赭 褶 这 柘 浙 蔗 鹧 着
zhei  这
zhen  贞 侦 帧 桢 针 珍 胗 真 砧 蓁 榛 臻 斟 甄 箴 诊 畛 疹 枕 缜 圳 阵 鸩 振 赈 震 朕 镇
zheng  丁 正 征 怔 症 争 挣 峥 狰 睁 铮 筝 蒸 拯 整 证 政 郑 诤
zhi  之 芝 支 吱 枝 肢 祗 只 织 栀 汁 知 蜘 脂 执 絷 直 值 埴 植 殖 侄 职 跖 止 址 芷 祉 趾 枳 咫 旨 指 酯 纸 至 郅 致 窒 蛭 膣 志 痣 识 帜 帙 秩 制 质 炙 治 栉 峙 痔 陟 挚 掷 智 滞 置 雉 稚
zhong  中 忠 盅 钟 衷 终 肿 种 冢 踵 仲 众 重
zhou  舟 州 洲 诌 周 粥 妯 轴 肘 帚 纣 绉 皱 咒 宙 胄 昼 骤
zhu  朱 侏 诛 茱 珠 株 铢 蛛 诸 猪 潴 术 竹 竺 逐 烛 舳 主 拄 煮 褚 属 嘱 瞩 伫 苎 贮 助 住 注 驻 柱 炷 蛀 杼 祝 著 翥 箸 铸 筑
zhua  抓 爪
zhuai  拽
zhuan  专 砖 颛 转 传 啭 赚 撰 馔 篆
zhuang  妆 庄 桩 装 奘 壮 状 僮 撞 幢 戆
zhui  椎 锥 追 坠 缀 惴 缒 赘
zhun  肫 谆 准
zhuo  拙 捉 桌 倬 焯 涿 灼 酌 茁 卓 浊 镯 啄 琢 著 着 擢
zi  孜 龇 咨 姿 资 兹 孳 滋 淄 辎 子 仔 籽 姊 秭 紫 訾 梓 滓 自 字 恣 渍
zong  枞 宗 综 棕 踪 鬃 总 纵 粽
zou  邹 驺 诹 走 奏 揍
zu  租 足 卒 族 诅 阻 组 俎 祖
zuan  钻 缵 纂 赚 攥
zui  咀 嘴 最 醉 罪
zun  尊 遵 樽 撙
zuo  作 嘬 昨 笮 琢 左 佐 撮 怍 柞 祚 坐 唑 座 做
